		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
P31946-P63104	P31946-P27348	yes	19	yes	245	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.659	94.77485297286928	P31946	P63104	P27348
Q9Y291-Q96EL2	Q9Y291-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.402	90.34078450785276	Q9Y291	P82673	Q96EL2
P11908-O60256	P60891-O60256	yes	44	yes	318	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.701	89.70367531856076	O60256	P11908	P60891
Q7L5Y9-Q9NWU2	Q96S59-Q7L5Y9	yes	15	yes	218	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.477	76.42755072335818	Q7L5Y9	Q9NWU2	Q96S59
P61158-O15144	P61158-P61160	no	0	yes	9	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_08269.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.37	80.0278587036909	P61158	P61160	O15144
P36873-Q9UQ13	P36873-O60927	yes	13	yes	127	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.662	81.98105685024174	P36873	Q9UQ13	O60927
P28066-P28072	P28066-P25786	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.268	80.2330274593982	P28066	P25786	P28072
Q16181-Q92599	Q9P0V9-Q92599	yes	80	yes	349	['huMAP3_02362.1']	0.681	75.74523411063707	Q92599	Q9P0V9	Q16181
Q16576-Q13330	Q16576-O14929	yes	31	yes	251	['huMAP3_15128.1']	0.606	78.83551812063277	Q16576	Q13330	O14929
Q9BTC8-Q8WWY6	Q8WWY6-Q13330	yes	13	yes	355	['huMAP3_10472.1', 'huMAP3_15128.1']	0.256	78.57949439200058	Q8WWY6	Q13330	Q9BTC8
P36873-Q15435	P36873-O60927	yes	15	yes	61	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1']	0.662	76.4162544268164	P36873	Q15435	O60927
Q14141-Q99719	Q9P0V9-Q99719	yes	52	yes	337	['huMAP3_02362.1']	0.582	75.28254947856996	Q99719	Q14141	Q9P0V9
Q96JB2-Q8WTW3	Q14746-Q96JB2	no	0	no	0	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.481	72.94058067619348	Q96JB2	Q8WTW3	Q14746
Q13033-O43815	Q9NRL3-Q13033	no	0	yes	69	['huMAP3_13510.1', 'huMAP3_07644.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.555	76.17186092013512	Q13033	Q9NRL3	O43815
P30876-P36954	P30876-P62875	no	0	no	0	['huMAP3_14318.1', 'huMAP3_11092.1']	0.478	78.97108184837333	P30876	P36954	P62875
P31946-P62258	P61981-P62258	yes	19	yes	245	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_07838.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.647	94.03882224545116	P62258	P61981	P31946
A0JLT2-O60244	Q9BTT4-O60244	no	0	yes	29	['huMAP3_02730.1']	0.412	73.56965548038926	O60244	A0JLT2	Q9BTT4
O95782-P63010	Q9Y6Q5-P63010	no	0	yes	1	['huMAP3_12394.1', 'huMAP3_10762.1', 'huMAP3_12918.1', 'huMAP3_10876.1']	0.475	74.31206938835614	P63010	Q9Y6Q5	O95782
P59998-P61160	O15511-P61160	no	0	yes	14	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.246	82.93317712714322	P61160	O15511	P59998
Q92599-Q9UH03	Q9P0V9-Q92599	yes	57	yes	304	['huMAP3_02362.1']	0.65	75.74523411063707	Q92599	Q9UH03	Q9P0V9
O15511-Q92747	O15511-O15143	yes	16	yes	354	['huMAP3_07760.1', 'huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.448	83.79268740331095	O15511	Q92747	O15143
Q9UJX5-Q9UJX4	Q9UJX4-Q9UJX2	no	0	no	0	['huMAP3_12747.1', 'huMAP3_03388.1']	0.305	77.73753972686433	Q9UJX4	Q9UJX5	Q9UJX2
Q16576-Q13330	Q09028-Q13330	yes	47	yes	425	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.606	79.41185314551748	Q13330	Q09028	Q16576
Q9HCS7-Q99459	Q8WUD4-Q9HCS7	no	0	yes	11	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	73.83465602078005	Q9HCS7	Q8WUD4	Q99459
Q9Y291-P82675	Q9Y291-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.344	83.17383893672634	Q9Y291	P82675	P82673
P62136-Q15435	Q99622-P62136	yes	11	yes	84	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_00020.1']	0.329	76.66599349267905	P62136	Q15435	Q99622
Q96G25-Q9BUE0	O75586-Q96G25	no	0	yes	8	['huMAP3_02730.1']	0.586	89.89381918282487	Q96G25	Q9BUE0	O75586
P25788-O14818	P25788-P28072	no	0	yes	3	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.373	92.43391222484053	P25788	O14818	P28072
Q9GZN8-P36873	P36873-Q15435	yes	20	yes	91	['huMAP3_14504.1']	0.606	76.4162544268164	P36873	Q15435	Q9GZN8
Q9NXR8-Q9H2F5	Q9HAF1-Q9H2F5	no	0	yes	54	['huMAP3_04039.1', 'huMAP3_06087.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.457	80.40797811306905	Q9H2F5	Q9NXR8	Q9HAF1
Q8WUF5-P62136	P62136-Q96QC0	yes	24	yes	274	['huMAP3_14504.1']	0.569	74.70952136279297	P62136	Q8WUF5	Q96QC0
Q6PJW8-P62136	P62136-Q9UQ13	yes	14	yes	209	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.478	74.21210222517954	P62136	Q9UQ13	Q6PJW8
Q13547-Q96BD5	Q13547-Q96ST3	yes	11	yes	202	['huMAP3_08800.1', 'huMAP3_09031.1', 'huMAP3_15128.1']	0.392	71.91177089078339	Q13547	Q96ST3	Q96BD5
Q9Y3C4-Q96S44	Q9NPF4-Q96S44	no	0	no	0	['huMAP3_11762.1', 'huMAP3_00664.1']	0.687	87.76113814792873	Q96S44	Q9NPF4	Q9Y3C4
Q9BSJ2-Q08AG7	Q9BSJ2-Q6P582	yes	39	yes	58	['huMAP3_14882.1', 'huMAP3_09443.1']	0.252	73.6750529424038	Q9BSJ2	Q6P582	Q08AG7
Q92599-Q16181	Q99719-Q92599	yes	66	yes	285	['huMAP3_02362.1']	0.621	77.36457808004319	Q92599	Q16181	Q99719
A0JLT2-O60244	O60244-O43513	no	0	no	0	['huMAP3_02730.1']	0.375	73.56965548038926	O60244	A0JLT2	O43513
O75947-P24539	P24539-P48047	no	0	no	0	['huMAP3_09775.1', 'huMAP3_09307.1', 'huMAP3_11134.1', 'huMAP3_11095.1', 'huMAP3_12213.1', 'huMAP3_07476.1']	0.512	81.46676699937174	P24539	O75947	P48047
Q15311-Q8NFH8	Q15311-Q96D71	yes	27	yes	300	['huMAP3_08320.1', 'huMAP3_12376.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_05849.1', 'huMAP3_12918.1']	0.272	74.94369445511022	Q15311	Q96D71	Q8NFH8
Q9Y2T4-P30154	P67775-P30154	no	0	yes	90	['huMAP3_13510.1', 'huMAP3_07998.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.277	83.35636457757028	P30154	Q9Y2T4	P67775
P62136-Q9H788	Q9GZN8-P62136	yes	16	yes	115	['huMAP3_14504.1']	0.596	74.54558206419132	P62136	Q9H788	Q9GZN8
P61026-P31150	P31150-P51149	yes	24	yes	194	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.547	73.58835435256536	P31150	P61026	P51149
Q13573-O95926	Q13573-O43660	no	0	no	0	['huMAP3_09504.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.276	81.21638325818589	Q13573	O95926	O43660
Q96CW1-P63010	Q9Y6Q5-P63010	yes	68	yes	426	['huMAP3_12394.1', 'huMAP3_10762.1', 'huMAP3_12918.1', 'huMAP3_10876.1']	0.718	81.79056672067463	P63010	Q9Y6Q5	Q96CW1
P48059-Q9NVD7	Q9NVD7-Q15404	no	0	yes	57	['huMAP3_09385.1', 'huMAP3_11194.1']	0.475	85.86691091868525	Q9NVD7	P48059	Q15404
P36873-Q9UQ13	P62136-P36873	no	0	yes	95	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	79.45442497415914	P36873	Q9UQ13	P62136
P46527-P20248	P24941-P20248	no	0	no	0	['huMAP3_14722.1', 'huMAP3_06587.1', 'huMAP3_10449.1']	0.303	74.69230200631293	P20248	P24941	P46527
Q12874-Q15393	Q15393-Q9BWJ5	no	0	yes	2	['huMAP3_08980.1', 'huMAP3_04549.1', 'huMAP3_15168.1', 'huMAP3_06511.1', 'huMAP3_09187.1']	0.298	82.4881653917571	Q15393	Q12874	Q9BWJ5
Q9HCS7-Q9ULR0	Q8WUD4-Q9HCS7	no	0	no	0	['huMAP3_09504.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.572	73.83465602078005	Q9HCS7	Q9ULR0	Q8WUD4
P54652-P34932	P34932-P11142	yes	32	yes	625	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1', 'huMAP3_06506.1']	0.717	81.82342768026528	P34932	P11142	P54652
P31150-P61106	P31150-P61020	yes	12	yes	184	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	P61020
Q9H9H4-Q96EY5	Q99816-Q96EY5	no	0	yes	67	['huMAP3_06010.1', 'huMAP3_07951.1', 'huMAP3_12917.1', 'huMAP3_13805.1', 'huMAP3_01514.1', 'huMAP3_09572.1']	0.469	80.9766337577253	Q96EY5	Q99816	Q9H9H4
P49321-Q9NVP2	P49321-Q9Y294	yes	24	yes	182	['huMAP3_08143.1', 'huMAP3_10747.1', 'huMAP3_12711.1', 'huMAP3_09859.1', 'huMAP3_05517.1', 'huMAP3_06020.1']	0.634	75.12627542825811	P49321	Q9Y294	Q9NVP2
Q9GZN8-P62136	P62136-Q13625	yes	21	yes	113	['huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q13625	Q9GZN8
O14818-Q99436	P60900-O14818	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.309	90.09617681060952	O14818	P60900	Q99436
P62312-O15116	P62312-O95777	yes	15	yes	95	['huMAP3_09187.1', 'huMAP3_08980.1', 'huMAP3_15168.1']	0.48	87.78970295495421	P62312	O95777	O15116
Q8WWY6-Q13330	Q8WXI9-Q8WWY6	no	0	yes	98	['huMAP3_10472.1', 'huMAP3_15128.1']	0.256	78.88243492885208	Q8WWY6	Q13330	Q8WXI9
P07814-Q15046	P07814-O43324	no	0	no	0	['huMAP3_13688.1', 'huMAP3_02637.1']	0.341	73.01896650695474	P07814	Q15046	O43324
P38936-P20248	P20248-P06493	no	0	yes	14	['huMAP3_14722.1', 'huMAP3_10449.1']	0.311	74.94753895504776	P20248	P06493	P38936
A0JLT2-O43513	Q9Y3C7-O43513	no	0	yes	12	['huMAP3_02730.1']	0.244	80.72597297597144	O43513	Q9Y3C7	A0JLT2
P62136-Q8NI77	Q6PJW8-P62136	yes	21	yes	293	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.478	74.01205952819656	P62136	Q8NI77	Q6PJW8
P25787-P20618	P25786-P25787	no	0	yes	17	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.265	92.16392232787274	P25787	P25786	P20618
P61981-P27348	P61981-Q04917	yes	19	yes	244	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.665	94.98186756688324	P61981	Q04917	P27348
O60216-Q8N3U4	Q8WVM7-O60216	yes	65	yes	1044	['huMAP3_14972.1', 'huMAP3_00229.1']	0.697	74.36800358664914	O60216	Q8WVM7	Q8N3U4
P34932-P11142	P11142-Q92598	yes	33	yes	791	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1']	0.717	81.82342768026528	P11142	Q92598	P34932
A5D8V6-Q99816	Q99816-Q96EY5	yes	10	yes	51	['huMAP3_12917.1', 'huMAP3_09572.1', 'huMAP3_13805.1']	0.616	80.9766337577253	Q99816	Q96EY5	A5D8V6
Q9NX18-P31040	P31040-P21912	yes	38	yes	135	['huMAP3_12069.1']	0.689	83.93787439981071	P31040	P21912	Q9NX18
Q9UHV9-P61758	Q9NQP4-P61758	no	0	no	0	['huMAP3_14626.1', 'huMAP3_14584.1', 'huMAP3_11361.1', 'huMAP3_10942.1']	0.425	90.21987770942846	P61758	Q9UHV9	Q9NQP4
Q9HAF1-Q92613	Q9HAF1-Q6IE81	yes	11	yes	210	['huMAP3_03602.1', 'huMAP3_08842.1']	0.399	78.45498897032017	Q9HAF1	Q92613	Q6IE81
Q14558-O60256	P60891-O60256	yes	37	yes	332	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_09527.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_07801.1', 'huMAP3_01114.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.656	86.53914317716615	O60256	Q14558	P60891
P31150-P61006	P31150-P51149	yes	15	yes	196	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.423	72.82127593925874	P31150	P51149	P61006
Q86Y82-Q9H115	Q86Y82-Q9BV40	no	0	no	0	['huMAP3_13160.1', 'huMAP3_06458.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.344	72.25120600822021	Q86Y82	Q9BV40	Q9H115
Q9UL63-Q9H871	Q9NWU2-Q9H871	yes	12	yes	221	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.307	84.23208661383696	Q9H871	Q9NWU2	Q9UL63
Q7L5Y9-Q6VN20	P62699-Q6VN20	no	0	no	0	['huMAP3_04239.1', 'huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.243	75.73645420168833	Q6VN20	Q7L5Y9	P62699
P48059-Q9NVD7	Q9HBI1-P48059	yes	15	yes	293	['huMAP3_09385.1', 'huMAP3_11194.1']	0.579	90.825172865353	P48059	Q9HBI1	Q9NVD7
O00506-Q9BUL8	Q9BUL8-Q9P289	yes	35	yes	373	['huMAP3_13510.1', 'huMAP3_02705.1', 'huMAP3_10138.1', 'huMAP3_11938.1', 'huMAP3_01936.1']	0.646	84.04772628702642	Q9BUL8	O00506	Q9P289
P62312-O15116	P62312-Q9UK45	yes	15	yes	91	['huMAP3_05636.1', 'huMAP3_02465.1', 'huMAP3_08980.1', 'huMAP3_15168.1', 'huMAP3_09187.1']	0.48	88.79722539126834	P62312	Q9UK45	O15116
O94776-Q16576	Q9P2Y4-Q16576	yes	22	yes	232	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.465	73.31302856965209	Q16576	O94776	Q9P2Y4
P26038-P35241	P15311-P35241	yes	64	yes	560	['huMAP3_04321.1', 'huMAP3_10281.1']	0.701	79.30777909456202	P35241	P26038	P15311
Q99496-Q9BYE7	Q06587-Q99496	yes	19	yes	135	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1', 'huMAP3_08622.1']	0.548	70.92094092150496	Q99496	Q9BYE7	Q06587
Q9UJW0-Q9BTE1	Q9UJW0-Q9NZ32	no	0	no	0	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1', 'huMAP3_14885.1']	0.705	86.76870418117232	Q9UJW0	Q9BTE1	Q9NZ32
Q9NP92-Q9P0M9	Q9NP92-Q9NRX2	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.251	74.97704595635408	Q9NP92	Q9NRX2	Q9P0M9
P31150-P61106	Q6IQ22-P31150	yes	12	yes	191	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	74.33777882538585	P31150	P61106	Q6IQ22
P06730-O43432	P06730-Q13542	yes	28	yes	108	['huMAP3_13436.1', 'huMAP3_10733.1', 'huMAP3_13122.1', 'huMAP3_12383.1', 'huMAP3_01924.1', 'huMAP3_08691.1', 'huMAP3_04825.1', 'huMAP3_12323.1', 'huMAP3_09957.1']	0.344	79.72394659488221	P06730	Q13542	O43432
P62714-P30153	P62714-Q66LE6	no	0	yes	7	['huMAP3_13510.1', 'huMAP3_10333.1']	0.288	72.71331821570493	P62714	P30153	Q66LE6
P20700-Q03252	P02545-Q03252	yes	115	yes	224	['huMAP3_13519.1', 'huMAP3_10614.1', 'huMAP3_00325.1', 'huMAP3_10433.1', 'huMAP3_10492.1']	0.734	86.81423162099352	Q03252	P02545	P20700
P62136-Q9H788	P62136-O60927	yes	15	yes	45	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.388	74.54558206419132	P62136	Q9H788	O60927
Q9GZN8-P62136	P62136-Q96QC0	yes	26	yes	77	['huMAP3_14504.1']	0.569	79.31715931707814	P62136	Q96QC0	Q9GZN8
P18754-P62826	P43487-P62826	no	0	no	0	['huMAP3_07331.1', 'huMAP3_12581.1', 'huMAP3_10000.1', 'huMAP3_08641.1']	0.642	86.12828545117767	P62826	P43487	P18754
Q9BTC8-O94776	O94776-Q16576	no	0	no	0	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.563	77.6860242517132	O94776	Q9BTC8	Q16576
P31150-P51153	P31150-P20338	yes	10	yes	177	['huMAP3_08941.1', 'huMAP3_06607.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.401	75.53521820133635	P31150	P20338	P51153
P62136-Q8NI77	P62136-Q96QC0	yes	24	yes	307	['huMAP3_14504.1']	0.502	74.01205952819656	P62136	Q8NI77	Q96QC0
Q15363-Q9Y3A6	Q15363-P49755	no	0	yes	28	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.426	80.00437350077569	Q15363	P49755	Q9Y3A6
Q16718-O75489	Q9BU61-O75489	no	0	no	0	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.529	85.12723750485956	O75489	Q16718	Q9BU61
P59998-O15143	P59998-P61160	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.246	84.1948389979554	P59998	P61160	O15143
P09493-P06753	P09493-P07951	yes	128	yes	261	['huMAP3_06153.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.733	86.42929617890411	P09493	P07951	P06753
Q9Y2R9-P82933	Q9Y2R9-P82664	no	0	yes	2	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.233	85.23824682697148	Q9Y2R9	P82933	P82664
P19447-Q6P1K8	P32780-Q6P1K8	no	0	yes	3	['huMAP3_12429.1', 'huMAP3_09908.1', 'huMAP3_05174.1']	0.429	72.69046212788832	Q6P1K8	P32780	P19447
Q92558-Q8IZP0	Q8IZP0-Q9Y6W5	yes	27	yes	197	['huMAP3_09598.1', 'huMAP3_02474.1', 'huMAP3_13345.1']	0.555	84.57309118768568	Q8IZP0	Q92558	Q9Y6W5
Q13561-O75935	P42025-Q13561	no	0	yes	12	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.367	79.45149858330238	Q13561	P42025	O75935
P62136-Q8NI77	P62136-Q9UQ13	yes	15	yes	217	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.502	74.01205952819656	P62136	Q8NI77	Q9UQ13
Q9NV56-O95619	Q9UBU8-Q9NV56	no	0	yes	93	['huMAP3_10481.1', 'huMAP3_14306.1']	0.247	72.52899458566694	Q9NV56	O95619	Q9UBU8
Q13636-P31150	Q6IQ22-P31150	yes	20	yes	191	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_11860.1', 'huMAP3_06607.1', 'huMAP3_09217.1']	0.495	74.33777882538585	P31150	Q13636	Q6IQ22
O00231-O00487	O00487-Q99460	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.232	77.73251551912846	O00487	Q99460	O00231
Q8WYJ6-Q14141	Q9UHD8-Q14141	yes	55	yes	299	['huMAP3_02362.1']	0.607	77.32368863828209	Q14141	Q8WYJ6	Q9UHD8
Q9UJ41-Q15276	Q9UJ41-Q9H5N1	no	0	yes	58	['huMAP3_11869.1', 'huMAP3_14052.1', 'huMAP3_10850.1', 'huMAP3_11891.1']	0.342	76.05494149912134	Q9UJ41	Q9H5N1	Q15276
Q99436-P28062	P28070-Q99436	yes	12	yes	229	['huMAP3_00356.1', 'huMAP3_09656.1']	0.527	87.980613522083	Q99436	P28062	P28070
P31150-P61006	P31150-P61020	yes	17	yes	202	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.423	72.82127593925874	P31150	P61020	P61006
Q8N488-P35227	Q8N488-Q99496	no	0	no	0	['huMAP3_14051.1', 'huMAP3_10162.1']	0.39	83.28878059942052	Q8N488	P35227	Q99496
O15400-O95721	O15400-Q5SQN1	yes	21	yes	138	['huMAP3_13160.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.41	75.63167621136171	O15400	Q5SQN1	O95721
P62136-Q12972	P62136-P36873	no	0	yes	35	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	79.45442497415914	P62136	Q12972	P36873
O75864-P62136	P62136-Q13625	yes	13	yes	224	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.266	71.29807094446122	P62136	Q13625	O75864
O00232-Q9UNM6	O00232-P51665	no	0	yes	26	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.237	75.94469076776431	O00232	P51665	Q9UNM6
Q8TDH9-Q96EV8	Q6QNY1-Q96EV8	yes	11	yes	44	['huMAP3_02126.1', 'huMAP3_09421.1', 'huMAP3_06144.1', 'huMAP3_11659.1', 'huMAP3_10940.1']	0.604	92.9262742657394	Q96EV8	Q8TDH9	Q6QNY1
P22694-P10644	P22694-P31321	yes	38	yes	365	['huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.684	80.57711367708913	P22694	P10644	P31321
O75586-O60244	Q9BTT4-O60244	no	0	yes	12	['huMAP3_02730.1']	0.276	76.32868865551556	O60244	Q9BTT4	O75586
Q15019-Q99719	Q15019-Q9NVA2	yes	45	yes	309	['huMAP3_02362.1']	0.551	70.4842508087897	Q15019	Q99719	Q9NVA2
Q9NSB8-Q86YM7	Q9NSC5-Q9NSB8	yes	38	yes	165	['huMAP3_08640.1', 'huMAP3_10687.1', 'huMAP3_11771.1', 'huMAP3_12088.1']	0.724	89.01825891610996	Q9NSB8	Q86YM7	Q9NSC5
Q05193-Q9UQ16	P50570-Q9UQ16	yes	28	yes	786	['huMAP3_11137.1', 'huMAP3_11125.1', 'huMAP3_04026.1']	0.464	80.86419823037839	Q9UQ16	P50570	Q05193
Q8WUF5-P62136	P62136-Q9UQ13	yes	13	yes	208	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.672	74.70952136279297	P62136	Q8WUF5	Q9UQ13
Q9H410-Q8NBT2	Q6P1K2-Q9H410	no	0	yes	43	['huMAP3_01824.1', 'huMAP3_11940.1']	0.339	77.11788845853008	Q9H410	Q6P1K2	Q8NBT2
Q16539-Q16644	Q16539-O75676	yes	21	yes	267	['huMAP3_14776.1']	0.439	71.8379826250144	Q16539	O75676	Q16644
Q9NVA2-Q9UH03	Q92599-Q9UH03	yes	65	yes	409	['huMAP3_02362.1']	0.65	76.01948213206907	Q9UH03	Q92599	Q9NVA2
Q04917-P63104	P62258-Q04917	yes	18	yes	245	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.666	94.61609601067886	Q04917	P63104	P62258
P31150-P61020	P31150-Q15286	yes	16	yes	179	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.55203133585788	P31150	P61020	Q15286
P31150-P51153	P31150-Q15286	yes	12	yes	188	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.55203133585788	P31150	Q15286	P51153
