		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P52434-O95602	O95602-Q9GZS1	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.476	72.65787489198938	O95602	Q9GZS1	P52434	no	0.4	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	yes structural evidence
P31150-P61106	P31150-P61018	yes	13	yes	197	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	P61018	no	0.22	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q8WUF5-P62136	P62136-O60927	yes	17	yes	70	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.388	74.70952136279297	P62136	Q8WUF5	O60927	no	0.044	{'6DCX'}	{'8DWK', '8U5G', '8DWL'}	{'No mutual structures'}	no structural evidence
Q4VC05-Q6STE5	Q8TAQ2-Q6STE5	no	0	yes	71	['huMAP3_03221.1', 'huMAP3_11470.1']	0.248	77.03186739885791	Q6STE5	Q4VC05	Q8TAQ2	no	0.158	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P30876-P19387	P30876-P36954	no	0	no	0	['huMAP3_09843.1', 'huMAP3_11092.1', 'huMAP3_07454.1', 'huMAP3_07749.1', 'huMAP3_14318.1']	0.478	78.97108184837333	P30876	P19387	P36954	no	0.462	{'6O9L', '5IYC', '5IY6', '5IY9', '6XRE', '5IY8', '7LBM', '5IYA', '6DRD', '5IY7', '5IYB', '5IYD'}	{'6O9L', '5IYC', '5IY6', '5IY9', '6XRE', '5IY8', '7LBM', '5IYA', '6DRD', '5IY7', '5IYB', '5IYD'}	{'6O9L', '5IYC', '5IY6', '5IY9', '6XRE', '5IY8', '7LBM', '5IYA', '5IYB', '6DRD', '5IY7', '5IYD'}	yes structural evidence
Q9UHD8-Q9P0V9	Q9P0V9-Q92599	yes	24	yes	192	['huMAP3_02362.1']	0.631	75.74523411063707	Q9P0V9	Q92599	Q9UHD8	yes	0.352	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O60826-Q7Z3J2	Q9UBQ0-Q7Z3J2	no	0	no	0	['huMAP3_14444.1', 'huMAP3_07032.1']	0.467	78.72061061518988	Q7Z3J2	Q9UBQ0	O60826	no	0.354	{'8P0V', '8P0X'}	{'8SYN', '8P0V', '8SYM', '8P0X', '8ESE', '8SYO'}	{'8P0V', '8P0X'}	yes structural evidence
Q12824-Q92922	Q92922-Q96GM5	no	0	yes	68	['huMAP3_03221.1', 'huMAP3_11470.1']	0.519	73.69555145389508	Q92922	Q96GM5	Q12824	no	0.448	{'5GJK', '6KZ7'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
O75586-O60244	O60244-O43513	no	0	yes	35	['huMAP3_02730.1']	0.276	76.32868865551556	O60244	O43513	O75586	no	0.258	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
O60832-Q15397	O60832-Q9NPE3	no	0	no	0	['huMAP3_05933.1', 'huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_10538.1']	0.326	74.15922964312118	O60832	Q9NPE3	Q15397	no	0.118	{'No overlap'}	{'7V9A', '8OUE', '8OUF', '7TRC', '7BGB'}	{'No mutual structures'}	no structural evidence
P62136-O60927	P62136-Q96QC0	yes	12	yes	40	['huMAP3_14504.1']	0.388	75.41847347877973	P62136	O60927	Q96QC0	no	0.05	{'8DWK', '8U5G', '8DWL'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q8NHZ8-Q13042	Q8NHZ8-Q9UM11	no	0	yes	16	['huMAP3_12747.1', 'huMAP3_03388.1']	0.236	87.10302522402795	Q8NHZ8	Q9UM11	Q13042	no	0.132	{'7QE7', '5L9T', '8PKP', '3HYM', '5G05', '6Q6G', '5KHR', '5KHU', '5LCW', '6Q6H', '5L9U', '6TNT', '8S4G', '8TAU', '5G04', '5A31', '6TM5', '8TAR', '6TLJ', '4UI9'}	{'5L9U', '8S4G', '7QE7', '5L9T', '8TAU', '8TAR', '4UI9'}	{'5L9U', '8S4G', '7QE7', '5L9T', '8TAU', '8TAR', '4UI9'}	yes structural evidence
P62136-Q9H788	P62136-Q12972	yes	25	yes	166	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.596	74.54558206419132	P62136	Q9H788	Q12972	no	0.014	{'No overlap'}	{'3V4Y'}	{'No mutual structures'}	no structural evidence
Q92925-Q9BQE9	Q92785-Q9BQE9	no	0	no	0	['huMAP3_03221.1', 'huMAP3_11470.1']	0.25	83.00216847873591	Q9BQE9	Q92925	Q92785	no	0.772	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q99436-P28065	P28065-P40306	yes	10	yes	250	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.33	76.05066399160175	P28065	P40306	Q99436	yes	0.36	{'No overlap'}	{'7AWE', '6E5B', '7B12', '6AVO'}	{'No mutual structures'}	no structural evidence
Q6VN20-Q9NWU2	P62699-Q9NWU2	no	0	yes	12	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.247	86.39524329784328	Q9NWU2	Q6VN20	P62699	yes	0.06	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9H0D6-Q96HQ2	Q9H0D6-Q9NXV6	yes	25	yes	106	['huMAP3_11966.1']	0.471	80.09452137122669	Q9H0D6	Q96HQ2	Q9NXV6	no	0.028	{'None'}	{'None'}	{'None'}	no structural evidence
Q12905-Q12906	Q12905-Q96KR1	yes	45	yes	555	['huMAP3_10538.1', 'huMAP3_10625.1', 'huMAP3_11966.1', 'huMAP3_07115.1']	0.614	77.56398708164336	Q12905	Q12906	Q96KR1	no	0.696	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q86Y82-Q96AJ9	Q86Y82-O60499	yes	16	yes	46	['huMAP3_13160.1', 'huMAP3_06458.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.332	71.26567476334665	Q86Y82	O60499	Q96AJ9	no	0.116	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P31150-P51153	P31150-P61020	yes	12	yes	178	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.401	77.1893184415882	P31150	P61020	P51153	no	0.04	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q9NP92-Q9NRX2	Q9NP92-Q9BZE1	no	0	yes	5	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.251	86.6384368365392	Q9NP92	Q9NRX2	Q9BZE1	no	0.974	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
P20700-P02545	P02545-Q03252	yes	70	yes	60	['huMAP3_13519.1', 'huMAP3_10614.1', 'huMAP3_00325.1', 'huMAP3_10433.1', 'huMAP3_10492.1']	0.734	85.81332966750092	P02545	P20700	Q03252	yes	0.636	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9NVC6-Q9H944	O75586-Q9NVC6	no	0	no	0	['huMAP3_02730.1']	0.248	82.7596639361509	Q9NVC6	Q9H944	O75586	no	0.218	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
P62136-Q9H788	P62136-Q15435	yes	19	yes	165	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_00020.1']	0.596	74.54558206419132	P62136	Q9H788	Q15435	no	0.026	{'No overlap'}	{'6OBN', '6OBP', '8U5G'}	{'No mutual structures'}	no structural evidence
Q9UJW0-Q9NZ32	P61163-Q9NZ32	no	0	no	0	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.589	80.16664944545985	Q9NZ32	P61163	Q9UJW0	no	0.736	{'None'}	{'None'}	{'None'}	no structural evidence
O00231-Q15008	O00231-O00487	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.232	73.73388967605744	O00231	Q15008	O00487	no	0.962	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '5VHI', '7W3M', '7W3B', '5L4K', '8CVT', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '6MSE', '5T0I', '5VGZ', '7QXN', '7W3I', '5VHI', '7W3M', '7W3B', '5L4K', '8CVT', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '7W38', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '5VHI', '7W3M', '7W3B', '5L4K', '8CVT', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '7W39', '7W3H', '7W3K', '5VFR', '5VFP'}	yes structural evidence
P19532-P19484	O75030-P19484	yes	18	yes	139	['huMAP3_12897.1', 'huMAP3_04102.1', 'huMAP3_13503.1', 'huMAP3_13402.1']	0.624	86.0632702543525	P19484	O75030	P19532	yes	0.108	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9HCS7-Q99459	Q9HCS7-Q9ULR0	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q9HCS7	Q9ULR0	Q99459	no	0.552	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6FF7', '6ID1', '5Z56', '6QDV', '8CH6', '5YZG', '7ABI', '7W5A', '5MQF'}	{'8C6J', '7A5P', '6FF7', '8CH6', '5YZG'}	{'8C6J', '7A5P', '6FF7', '8CH6', '5YZG'}	yes structural evidence
Q9NVC6-Q9H944	Q9P086-Q9NVC6	no	0	no	0	['huMAP3_02730.1']	0.248	80.2407482566872	Q9NVC6	Q9P086	Q9H944	no	0.41	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
P68371-Q9BQE3	Q13509-Q9BQE3	yes	26	yes	439	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.671	86.06296048780001	Q9BQE3	Q13509	P68371	no	0.262	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9P015-Q13405	Q9P015-Q9BYD3	no	0	yes	38	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_04652.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.452	87.72481512866517	Q9P015	Q9BYD3	Q13405	no	0.996	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
Q9Y6Q5-P63010	Q9Y6Q5-O43747	yes	22	yes	562	['huMAP3_12376.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.603	73.72108808374031	Q9Y6Q5	O43747	P63010	no	0.532	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q8WUF5-P62136	P62136-Q8NI77	yes	20	yes	331	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.502	74.01205952819656	P62136	Q8NI77	Q8WUF5	no	0.076	{'6DCX'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P28066-P28065	P28065-P40306	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.241	76.59691694119624	P28065	P28066	P40306	yes	0.657636363636364	{'7AWE', '6E5B', '7B12', '6AVO'}	{'7AWE', '6E5B', '7B12', '6AVO'}	{'7AWE', '6E5B', '7B12', '6AVO'}	yes structural evidence
Q96F07-Q92558	Q9UPY6-Q96F07	yes	97	yes	371	['huMAP3_09598.1', 'huMAP3_02474.1', 'huMAP3_13345.1']	0.709	72.8172463560037	Q96F07	Q92558	Q9UPY6	no	0.166	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
P62136-Q13625	P62136-Q96QC0	yes	18	yes	295	['huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q13625	Q96QC0	no	0.032	{'6GHM'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q9NP92-Q9P0M9	Q9NP92-Q16540	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.273	74.97704595635408	Q9NP92	Q16540	Q9P0M9	no	0.648	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
Q9UGJ1-P23258	Q9BSJ2-Q9UGJ1	no	0	yes	17	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1']	0.51	73.83004855559084	Q9UGJ1	P23258	Q9BSJ2	no	0.93	{'7QJ5', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJE', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	{'7QJ5', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	{'7QJ5', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	yes structural evidence
Q9H269-Q96AX1	P49754-Q9H269	yes	11	yes	265	['huMAP3_08749.1', 'huMAP3_12945.1', 'huMAP3_02792.1', 'huMAP3_12433.1', 'huMAP3_13822.1']	0.49	85.50151799952097	Q9H269	Q96AX1	P49754	no	0.46	{'4BX9'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P25787-P28065	P28065-P40306	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.368	78.69454513951543	P28065	P40306	P25787	yes	0.464	{'7AWE', '6E5B', '7B12', '6AVO'}	{'7AWE', '6E5B', '7B12', '6AVO'}	{'7AWE', '6E5B', '7B12', '6AVO'}	yes structural evidence
Q9NYK5-Q9NRX2	Q9NP92-Q9NRX2	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.251	87.42854049238262	Q9NRX2	Q9NP92	Q9NYK5	no	0.988	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
O95639-Q6UN15	O95639-Q10570	no	0	yes	76	['huMAP3_09096.1', 'huMAP3_11757.1', 'huMAP3_00102.1']	0.265	76.967334605079	O95639	Q10570	Q6UN15	no	0.606	{'7K95', '7ZYH'}	{'6URG', '8E3Q', '6URO', '6DNH', '8R8R', '8E3I', '6FUW'}	{'No mutual structures'}	no structural evidence
